# trajectoire
index,x,y
72,-105.376,-18.585
73,-101.46,-17.487
74,-97.55,-16.405
75,-93.901,-15.362
76,-90.467,-14.279
77,-87.204,-13.2
78,-84.14,-12.143
79,-81.225,-11.04
80,-78.375,-9.843
81,-75.541,-8.55
82,-72.599,-7.094
83,-69.428,-5.473
84,-65.999,-3.805
85,-62.314,-2.187
86,-58.454,-0.699
87,-54.596,0.604
88,-50.949,1.678
89,-47.766,2.523
90,-45.289,3.195
91,-43.635,3.751
92,-42.715,4.196
93,-42.088,4.667
94,-41.166,5.479
95,-39.695,6.593
96,-37.738,7.662
97,-35.414,8.563
98,-32.735,9.381
99,-29.729,10.254
100,-26.505,11.254
101,-23.214,12.325
102,-20.087,13.395
103,-17.262,14.407
104,-14.694,15.279
105,-12.307,15.909
106,-10.076,16.254
107,-8.024,16.277
108,-6.245,16.027
109,-4.899,15.684
110,-3.951,15.446
111,-3.102,15.336
112,-1.905,15.368
113,-0.225,15.599
114,1.849,16.102
115,4.232,16.882
116,6.812,17.95
117,9.537,19.299
118,12.363,20.88
119,15.244,22.594
120,18.108,24.372
121,20.933,26.121
122,23.649,27.746
123,26.173,29.202
124,28.464,30.483
125,30.55,31.603
126,32.621,32.633
127,34.801,33.402
128,37.086,33.778
129,39.351,33.662
130,41.559,33.139
131,43.614,32.293
132,45.624,31.289
133,47.722,30.011
134,49.886,28.347
135,51.851,26.165
136,53.305,23.609
137,54.179,20.816
138,54.453,17.878
139,54.154,15.035
140,53.587,12.423
141,52.933,9.944
142,52.226,7.573
143,51.529,5.266
144,50.795,2.824
145,49.809,0.273
146,48.559,-2.434
147,46.982,-5.373
148,45.04,-8.488
149,42.776,-11.676
150,40.236,-14.945
151,37.355,-18.109
152,34.161,-20.954
153,30.707,-23.332
154,27.039,-25.106
155,23.23,-26.162
156,19.52,-26.459
157,15.993,-26.295
158,12.615,-25.946
159,9.362,-25.617
160,6.173,-25.491
161,2.925,-25.714
162,-0.373,-26.265
163,-3.738,-27.199
164,-7.223,-28.509
165,-10.795,-30.148
166,-14.459,-32.041
167,-18.179,-34.104
168,-21.989,-36.206
169,-25.909,-38.272
170,-29.981,-40.223
171,-34.2,-42.003
172,-38.553,-43.586
173,-43.027,-44.961
174,-47.588,-46.129
175,-52.188,-47.114
176,-56.809,-47.965
177,-61.438,-48.706
178,-66.046,-49.38
179,-70.644,-50.035
180,-75.252,-50.671
181,-79.861,-51.278
182,-84.455,-51.867
183,-89.036,-52.458
184,-93.603,-53.058
185,-98.156,-53.684
186,-102.705,-54.348
187,-107.264,-55.047
188,-111.847,-55.758
189,-116.444,-56.451
190,-121.049,-57.128
191,-125.67,-57.777
192,-130.313,-58.385
193,-134.983,-58.924
194,-139.678,-59.371
195,-144.392,-59.698
196,-149.114,-59.887
197,-153.897,-59.915
198,-159.49,-59.595
199,-164.778,-59.167
# bordure_interieure
index,x,y
0,-168.829,-50.671
1,-173.356,-50.036
2,-177.582,-49.299
3,-180.55,-48.669
4,-183.359,-47.916
5,-185.951,-47.077
6,-188.128,-46.205
7,-189.734,-45.309
8,-190.845,-44.432
9,-191.503,-43.675
10,-191.83,-43.053
11,-192.043,-42.252
12,-192.188,-41.303
13,-192.224,-40.256
14,-192.149,-38.982
15,-191.951,-37.467
16,-191.603,-35.772
17,-191.057,-33.882
18,-190.264,-31.82
19,-189.221,-29.645
20,-187.917,-27.428
21,-186.328,-25.204
22,-184.495,-23.113
23,-182.312,-21.21
24,-179.647,-19.522
25,-176.422,-18.061
26,-172.704,-16.81
27,-168.687,-15.688
28,-164.668,-14.724
29,-160.73,-13.799
30,-156.983,-12.841
31,-153.486,-11.919
32,-150.162,-11.157
33,-146.915,-10.541
34,-143.861,-10.16
35,-141.084,-10.101
36,-138.488,-10.364
37,-136.078,-10.847
38,-133.907,-11.425
39,-131.818,-12.028
40,-129.626,-12.441
41,-127.463,-12.487
42,-125.507,-12.157
43,-123.891,-11.634
44,-122.728,-11.155
45,-122.111,-10.936
46,-122.108,-10.892
47,-122.525,-10.751
48,-122.669,-10.645
49,-122.303,-11.244
50,-121.772,-12.546
51,-121.339,-14.404
52,-121.071,-16.643
53,-120.963,-18.963
54,-120.984,-21.001
55,-121.116,-22.621
56,-121.251,-23.599
57,-121.174,-23.431
58,-117.934,-21.219
59,-115.05,-22.275
60,-115.041,-22.243
61,-115.49,-21.669
62,-116.248,-20.899
63,-118.476,-19.857
64,-122.548,-25.935
65,-121.213,-27.414
66,-119.749,-28.259
67,-117.899,-28.835
68,-115.624,-29.047
69,-113.018,-28.775
70,-110.095,-28.144
71,-106.824,-27.294
72,-103.222,-26.29
73,-99.314,-25.194
74,-95.384,-24.107
75,-91.601,-23.024
76,-88.01,-21.892
77,-84.645,-20.78
78,-81.42,-19.667
79,-78.26,-18.47
80,-75.165,-17.171
81,-72.104,-15.774
82,-69.003,-14.24
83,-65.859,-12.632
84,-62.643,-11.067
85,-59.268,-9.585
86,-55.733,-8.222
87,-52.182,-7.023
88,-48.787,-6.024
89,-45.693,-5.203
90,-42.985,-4.466
91,-40.658,-3.674
92,-38.659,-2.7
93,-37.106,-1.592
94,-36.098,-0.71
95,-35.373,-0.139
96,-34.429,0.379
97,-32.838,0.989
98,-30.457,1.712
99,-27.425,2.593
100,-24.082,3.629
101,-20.682,4.736
102,-17.445,5.843
103,-14.62,6.857
104,-12.357,7.628
105,-10.629,8.087
106,-9.364,8.285
107,-8.512,8.292
108,-7.816,8.183
109,-6.847,7.925
110,-5.354,7.57
111,-3.425,7.343
112,-1.208,7.398
113,1.298,7.745
114,4.057,8.413
115,7.02,9.384
116,10.124,10.668
117,13.268,12.222
118,16.361,13.951
119,19.398,15.757
120,22.323,17.573
121,25.095,19.288
122,27.704,20.851
123,30.125,22.247
124,32.312,23.469
125,34.239,24.505
126,35.793,25.289
127,36.849,25.669
128,37.547,25.791
129,38.175,25.748
130,39.058,25.54
131,40.278,25.022
132,41.748,24.291
133,43.207,23.407
134,44.473,22.456
135,45.376,21.467
136,45.968,20.421
137,46.334,19.25
138,46.454,17.969
139,46.262,16.341
140,45.81,14.301
141,45.231,12.109
142,44.563,9.873
143,43.868,7.569
144,43.228,5.42
145,42.449,3.408
146,41.405,1.147
147,40.065,-1.354
148,38.387,-4.045
149,36.356,-6.902
150,34.113,-9.797
151,31.723,-12.428
152,29.21,-14.671
153,26.664,-16.429
154,24.193,-17.63
155,21.832,-18.285
156,19.413,-18.46
157,16.602,-18.318
158,13.428,-17.988
159,9.91,-17.635
160,6.045,-17.492
161,1.986,-17.769
162,-2.111,-18.457
163,-6.221,-19.594
164,-10.302,-21.125
165,-14.301,-22.957
166,-18.235,-24.988
167,-22.051,-27.103
168,-25.787,-29.165
169,-29.504,-31.125
170,-33.265,-32.928
171,-37.122,-34.556
172,-41.095,-36.001
173,-45.194,-37.26
174,-49.417,-38.341
175,-53.749,-39.268
176,-58.165,-40.081
177,-62.649,-40.798
178,-67.19,-41.462
179,-71.755,-42.113
180,-76.321,-42.743
181,-80.891,-43.344
182,-85.475,-43.932
183,-90.068,-44.525
184,-94.67,-45.129
185,-99.28,-45.764
186,-103.889,-46.436
187,-108.483,-47.141
188,-113.056,-47.85
189,-117.623,-48.538
190,-122.188,-49.209
191,-126.746,-49.849
192,-131.291,-50.445
193,-135.821,-50.968
194,-140.334,-51.398
195,-144.829,-51.71
196,-149.3,-51.889
197,-153.671,-51.919
198,-158.94,-51.614
199,-164.019,-51.203
