heure,timestamp,lat,lon,alt_m,quality,nb_sats,hdop,speed_kmh,heading_deg
14:19:11.895,18.275447,43.4045375,6.0134853,194.9,1,14,,25.128,234.2
14:19:11.994,18.364777,43.4045375,6.0134853,194.9,1,14,,25.128,234.2
14:19:12.093,18.463635,43.4045328,6.0134764,195.1,1,14,,25.2,233.9
14:19:12.193,18.563914,43.4045328,6.0134764,195.1,1,13,,25.2,233.9
14:19:12.295,18.665635,43.4045253,6.0134625,195.0,1,13,,25.345,233.1
14:19:12.394,18.764878,43.4045253,6.0134625,195.0,1,13,,25.345,233.1
14:19:12.493,18.863694,43.4045175,6.0134486,194.9,1,13,,25.559,232.5
14:19:12.592,18.96266,43.4045175,6.0134486,194.9,1,13,,25.559,232.5
14:19:12.695,19.065715,43.4045097,6.0134345,194.8,1,13,,26.172,233.0
14:19:12.794,19.164633,43.4045097,6.0134345,194.8,1,13,,26.172,233.0
14:19:12.893,19.263683,43.4045019,6.0134197,194.7,1,13,,27.073,233.6
14:19:12.993,19.363773,43.4045019,6.0134197,194.7,1,13,,27.073,233.6
14:19:13.094,19.464642,43.4044953,6.0134008,194.7,1,13,,26.497,241.2
14:19:13.193,19.563958,43.4044953,6.0134008,194.7,1,13,,26.497,241.2
14:19:13.293,19.663642,43.4044889,6.0133847,194.6,1,13,,26.893,240.9
14:19:13.393,19.76398,43.4044889,6.0133847,194.6,1,13,,26.893,240.9
14:19:13.494,19.864726,43.4044822,6.0133683,194.5,1,13,,27.432,241.1
14:19:13.593,19.963752,43.4044822,6.0133683,194.5,1,13,,27.432,241.1
14:19:13.692,20.062679,43.4044758,6.0133517,194.5,1,13,,27.9,241.8
14:19:13.792,20.163266,43.4044758,6.0133517,194.5,1,12,,27.9,241.8
14:19:13.894,20.264642,43.4044692,6.0133345,194.4,1,12,,28.512,242.5
14:19:13.993,20.363716,43.4044692,6.0133345,194.4,1,12,,28.512,242.5
14:19:14.092,20.462681,43.4044106,6.013343,190.7,1,12,,29.701,245.9
14:19:14.201,20.571665,43.4044106,6.013343,190.7,1,12,,29.701,245.9
14:19:14.294,20.664636,43.4044047,6.0133239,190.6,1,12,,30.239,248.2
14:19:14.393,20.763909,43.4044047,6.0133239,190.6,1,12,,30.239,248.2
14:19:14.492,20.862646,43.4043997,6.0133042,190.5,1,12,,30.419,250.6
14:19:14.592,20.962767,43.4043997,6.0133042,190.5,1,12,,30.419,250.6
14:19:14.693,21.063707,43.4043953,6.0132842,190.5,1,12,,30.491,254.9
14:19:14.803,21.17376,43.4043953,6.0132842,190.5,1,13,,30.491,254.9
14:19:14.892,21.262719,43.4043919,6.0132639,190.4,1,13,,30.204,258.1
14:19:15.012,21.382682,43.4043919,6.0132639,190.4,1,13,,30.204,258.1
14:19:15.111,21.481682,43.4044058,6.0131233,192.1,1,14,,28.115,263.2
14:19:15.318,21.688993,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.427,21.797664,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.530,21.900781,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.629,21.999888,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.717,22.087682,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.826,22.196896,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:15.928,22.298754,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:16.008,22.378873,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
14:19:16.109,22.480248,43.4044058,6.0131047,192.0,1,0,,26.748,271.8
