heure,timestamp,ax(g),ay(g),az(g),gx(deg/s),gy(deg/s),gz(deg/s),roll(deg),pitch(deg),yaw(deg)
14:19:20.881,394.505203,0.1948,0.2939,1.0400,15.8691,15.6250,-4.3945,8.4100,-6.8719,-12.3926
14:19:20.981,394.605169,0.0889,0.1152,0.7925,0.9766,-11.8408,18.9819,9.2065,-7.1796,-10.5304
14:19:21.081,394.705124,0.0630,0.4033,1.0659,-5.1880,-10.6812,14.4653,9.9811,-7.6245,-8.1683
14:19:21.180,394.805096,0.0815,0.2446,0.8516,3.7231,1.8921,28.7476,10.4041,-7.8387,-5.7678
14:19:21.280,394.905037,0.1226,0.1909,1.2461,-4.6387,16.5405,-21.0571,10.4865,-6.5808,-5.5756
14:19:21.380,395.005115,0.0459,0.0151,0.8345,8.4229,-11.9629,8.4839,10.4919,-6.2018,-7.0917
14:19:21.480,395.105031,0.1865,0.1201,1.2031,-11.5356,5.6152,11.0474,10.6183,-6.7181,-7.0862
14:19:21.580,395.204957,0.0562,0.1050,0.8193,8.9722,-7.0801,1.4038,10.4095,-7.2894,-6.6467
14:19:21.680,395.304916,0.1123,0.1689,1.1826,2.1973,-2.9907,24.4751,10.5469,-7.6355,-4.6637
14:19:21.780,395.404870,0.0195,0.2358,0.8618,16.3574,-3.6011,9.2773,10.2887,-7.8442,-3.4222
14:19:21.880,395.504820,0.0244,0.1982,1.0112,-6.7749,5.1270,36.2549,10.1898,-7.1960,-0.6592
14:19:21.980,395.604777,0.0776,0.3062,0.9116,8.1787,-4.9438,22.1558,10.5414,-7.0203,2.4280
14:19:22.080,395.704749,0.0200,0.0269,1.0845,0.1831,5.6763,13.3057,10.1898,-7.0642,3.4058
14:19:22.180,395.804756,-0.0332,0.3711,0.9365,-46.3867,-23.0713,-2.9907,10.1898,-7.2784,2.2852
14:19:22.280,395.904712,0.1157,0.0479,1.1377,2.4414,-5.4321,28.5645,6.3831,-8.8055,4.9219
14:19:22.380,396.004669,0.0171,0.1924,1.0703,9.2773,15.8081,10.7422,7.1466,-10.2173,5.3284
14:19:22.480,396.104734,0.2915,-0.0942,0.6836,-1.6479,-14.0381,40.5273,6.1304,-10.5469,7.4268
14:19:22.580,396.204753,0.0005,0.0806,1.4082,11.9019,8.9111,47.3633,6.3666,-10.4150,10.9369
14:19:22.680,396.304615,0.3735,0.1577,0.6333,7.2632,-15.0146,34.3018,6.3446,-14.2163,13.1891
14:19:22.780,396.404551,0.0312,-0.0708,1.2729,-14.9536,-27.2827,-6.7139,5.9326,-11.5247,16.0455
14:19:22.880,396.504536,0.4399,-0.1226,0.7969,8.0566,-34.9731,27.8931,4.5703,-14.3207,16.9025
14:19:22.980,396.604507,0.1196,-0.0679,1.3965,25.4517,33.6914,13.1226,4.9274,-11.7059,18.6823
14:19:23.080,396.704444,0.3857,0.0010,0.6763,1.5259,-14.2822,14.8315,3.7958,-13.2111,19.3359
14:19:23.180,396.804443,0.0664,-0.0283,1.2192,3.3569,0.6714,2.6855,4.6912,-13.3539,21.0828
14:19:23.280,396.904390,0.1694,-0.1084,0.9141,7.3853,41.9312,12.1460,3.2025,-13.1012,21.8958
14:19:23.380,397.004413,0.7012,-0.3013,0.9961,-4.6387,11.9629,27.5879,3.4552,-9.7559,23.8678
14:19:23.480,397.104455,0.1123,0.0645,0.9834,16.9067,-10.1318,5.1270,3.9166,-8.8715,23.2745
14:19:23.580,397.204353,0.0972,0.0366,1.0015,135.3760,-49.4995,-36.1328,4.8999,-11.4478,21.9507
14:19:23.680,397.304313,0.2729,-0.0356,1.2534,-18.7988,-7.2632,0.4883,7.3334,-11.5686,21.1102
