latitude,longitude
43.4046312477743,6.01055830224678
43.4046573509879,6.01071764024307
43.4046755097385,6.01083167626002
43.4046993430905,6.01095196082584
43.4047172180983,6.01108786676385
43.404718069289,6.01115464812994
43.4047132458748,6.01119760690345
43.4047047339664,6.01122416323617
43.4046950871355,6.01124525208862
43.404681184347,6.01125892078928
43.4046675652858,6.01126712200968
43.4046519601077,6.01126790307829
43.4046374898481,6.01125540598054
43.4046238707771,6.01123236445657
43.404611386626,6.01120619865816
43.4046000373954,6.0111761275167
43.4045909580095,6.01114215103219
43.4045832972765,6.01109684905286
43.404571096848,6.01101054097153
43.4045594638789,6.01092501395882
43.4045302395809,6.01068132055273
43.4045214439157,6.01063016055882
43.4045098109371,6.01057158041312
43.4044987454188,6.01054111873736
43.4044859775106,6.01051651507617
43.4044746282565,6.0105020653069
43.4044584910323,6.01048702973617
43.4044412543441,6.01047604595885
43.4044243368491,6.01047033439464
43.40440901534,6.01046901634137
43.4043924170342,6.01046901634137
43.4043735843356,6.01047165244792
43.4043589012105,6.01047560660776
43.4043413452955,6.01048571168289
43.4043250661697,6.01050042994449
43.4043127770228,6.01051646625938
43.4042949018957,6.01054128959612
43.4042846875349,6.01056215877303
43.4042738347748,6.01059181497179
43.4042674507973,6.01062191052164
43.4042648440063,6.01065552088024
43.4042648440063,6.0106900831662
43.404266971999,6.01071937323905
43.4042708023855,6.0107486633119
43.404273781575,6.01078205399495
43.4042754839688,6.01082716070714
43.4042805911502,6.01087519642661
43.4043194908341,6.01130189420789
43.404324087294,6.01134055710405
43.4043266408827,6.01137148742098
43.4043322587775,6.01140452662316
43.404337365954,6.01143897174883
43.4043445160005,6.01147271391276
43.4043557517861,6.01150364422968
43.4043669875697,6.01154371304934
43.4043853733928,6.01158589075425
43.4044001841907,6.01161541514768
43.4044287843419,6.01165829581434
43.4044532987465,6.01168711724602
43.4044885381857,6.01172226533344
43.4045324597769,6.01175741342086
43.4045814884922,6.01178974966129
43.4047127422536,6.01187972876509
43.4047127422536,6.01187972876509
43.4047694315334,6.01192085202737
43.4047990529378,6.0119517823443
43.4048083734629,6.01197181675413
43.4048279082575,6.0120029228115
43.4048405484153,6.01203033831968
43.4048516564306,6.01205195439345
43.404856635885,6.01207462490983
43.4048635305136,6.01209307765573
43.4048642965834,6.01211574817212
43.4048612323042,6.01213683702457
43.4048539546404,6.01215159922128
43.4048462939407,6.01215898031964
43.4048351859244,6.0121616164262
43.4048217796951,6.01215950754095
43.4048110547096,6.0121568714344
43.4048026279339,6.0121568714344
43.4047915199096,6.0121521264426
43.4047704529614,6.01213578258194
43.4046564997963,6.01203877386066
43.4046231756369,6.01201504890166
43.4045984697828,6.01200318642215
43.4045714656982,6.01199290560658
43.4045338323261,6.0119948826865
43.4045114246584,6.01200397725412
43.4044959116527,6.01201346723772
43.4044818350331,6.01202612054919
43.4044677584102,6.01204430968443
43.404456267287,6.01207238421926
43.4044482234995,6.01209848167417
43.4044444888835,6.01212576537703
43.4044459252743,6.01215383991186
43.4044505217246,6.01217598320693
43.4044533945059,6.01220049899791
43.4044597146242,6.0122317368606
43.4044793931702,6.01227167387494
43.40449490618,6.0123084475614
43.4045104191859,6.01233632438824
43.404522915771,6.01235174561159
43.4045384287697,6.01237902931445
43.4045539417645,6.01239978865359
43.4045539417645,6.01239978865359
43.404572902086,6.01241402362899
43.404595309731,6.01244071420788
43.4046112536272,6.01246562541484
43.4046293520989,6.01248935037385
43.4046491742284,6.01250358534925
43.404882730135,6.01268359847574
43.4049124632024,6.01270584062481
43.4049279761013,6.01272185497214
43.4049396107729,6.01273786931947
43.4049564164057,6.01276322536941
43.4049722524785,6.01279125047724
43.4049851798818,6.01281838589911
43.4049964913575,6.01284285226309
43.4050029550569,6.01287399127179
43.4050107114953,6.01290290606558
43.4050171751931,6.01293182085937
43.4050213765964,6.01296118049615
43.4050216997813,6.01299424715777
43.4050201915853,6.01301589618286
43.4050171751931,6.01303368990212
43.4050109269519,6.01305029737342
43.4050020932303,6.01307105671256
43.4049960604441,6.01308410544001
43.4049889503739,6.01309596791952
43.4049807630194,6.01310812696101
43.4049725756636,6.01311732038263
43.4049605100848,6.01312206537443
43.4049467208489,6.01312562411828
43.4049290533858,6.01312918286213
43.4049014748966,6.01312147225045
43.4048799291931,6.01311909975455
43.4048618307962,6.01311850663058
43.4048385614209,6.01311613413468
43.4048118447197,6.01311672725865
43.4047872825808,6.0131226584984
43.4047657368367,6.01312977598611
43.4047342800366,6.01314282471356
43.4047032541355,6.01316061843282
43.4046739518811,6.01317900527605
43.4046412022858,6.01319561274736
43.4046183637417,6.01321162709469
43.4045843213676,6.01322408269817
43.4045666537988,6.01322942081394
43.40454711892,6.01322704831804
43.4045295949793,6.01321874458239
43.4045089109771,6.01320292794305
43.4044959834722,6.01318750671969
43.4044833432425,6.01316971300044
43.4044658192833,6.01313491639389
43.4044566263846,6.01310881893898
43.4044497317097,6.01308113982013
43.4044439861467,6.01305266986932
43.4044451352594,6.01302815407835
43.4044514553785,6.01300205662344
43.4044514553785,6.01300205662344
43.4044732885124,6.01297042334476
43.4045100600886,6.01295223420952
43.4045267222016,6.01294274422592
43.404551428085,6.01293879006608
43.4045772830685,6.01293404507428
43.4045772830685,6.01293404507428
43.4046014143764,6.01292060093084
43.4046183637417,6.01290557512347
43.4046381858748,6.01288422266036
43.4046580080014,6.01285061230176
43.4046654772068,6.01282214235095
43.404668637255,6.01278695032842
43.404666051761,6.01275294455384
43.4046545606755,6.01272091585918
43.4046545606755,6.01272091585918
43.4046246120235,6.01267396021114
43.4046017734732,6.01263985558256
43.4045584663872,6.0125861778628
43.4045377823949,6.01256393571373
43.4045041708923,6.01254436262255
43.4044796086287,6.0125238998454
43.4044556927308,6.01250944244851
43.4044327463875,6.01249187115074
43.4044141630749,6.01247674648938
43.4043957413507,6.0124569509767
43.4043836217923,6.01244138147235
43.4043639073053,6.01240173484164
43.4043490002403,6.01235769538648
43.404336274694,6.01231765951815
43.4043260942551,6.01227562185641
43.4043260942551,6.01227562185641
43.4043184589248,6.01222507657265
43.4043090056574,6.01217052770205
43.4043090056574,6.01217052770205
43.4043002795631,6.01207694385984
43.4042875540066,6.0119193026283
43.4041617526473,6.01037842214608
43.4041544808844,6.01027733157856
43.4041504814145,6.01018975311659
43.4041504814145,6.01012219258879
43.4041646613522,6.01004762578404
43.4041766597584,6.01000408677723
43.4041853858706,6.00997556122105
43.4041973842727,6.00994628499233
43.4041973842727,6.00994628499233
43.4042137457263,6.0099117540559
43.4042333794648,6.00987722311947
43.404254649341,6.00984794689076
43.404277009972,6.00982167335217
43.4043026428804,6.00979990384877
43.4043222765901,6.00978714241574
43.4043397287711,6.00978038636296
43.4043397287711,6.00978038636296
43.4043631801315,6.00977513165524
43.4043948121846,6.00977738367283
43.4044275349808,6.00979014510586
43.4044515316867,6.00980665990155
43.4044651661745,6.00982692805989
43.4044777099006,6.00984119083798
43.4044853452108,6.00986070832379
43.4044935258993,6.00987947513706
43.4045000704493,6.00990424733059
43.4045017065867,6.00993052086918
43.4045060696195,6.00996204911549
43.4045055242404,6.00998682130901
43.4045006158284,6.01001684821026
43.4045006158284,6.0100371163686
43.4045011612075,6.01006489125225
43.4045011612075,6.01010542756893
43.4045071603776,6.01013245178005
43.4045153410632,6.01016247868129
43.4045213402319,6.01017824280445
43.4045317024309,6.01020451634303
43.4045685154922,6.01029666139623
43.4045901942844,6.01035690286685
43.4046008291608,6.0104070102583
43.4046122821025,6.01045092460137
43.4046122821025,6.01045092460137
