trajectoire
1,248.0,97.0
2,250.0,75.0
3,253.0,52.0
4,255.0,39.0
5,259.0,20.0
6,269.0,10.0
7,286.0,10.0
8,305.0,20.0
9,325.0,26.0
10,339.0,44.0
11,348.0,57.0
12,357.0,74.0
13,358.0,89.0
14,356.0,106.0
15,350.0,119.0
16,344.0,133.0
17,336.0,148.0
18,330.0,169.0
19,331.0,184.0
20,338.0,200.0
21,344.0,206.0
22,355.0,210.0
23,369.0,204.0
24,372.0,185.0
25,372.0,171.0
26,378.0,146.0
27,384.0,121.0
28,389.0,104.0
29,399.0,101.0
30,411.0,101.0
31,422.0,112.0
32,433.0,120.0
33,443.0,136.0
34,443.0,143.0
35,443.0,160.0
36,439.0,175.0
37,438.0,190.0
38,433.0,208.0
39,433.0,227.0
40,431.0,245.0
41,427.0,261.0
42,425.0,279.0
43,420.0,296.0
44,418.0,318.0
45,411.0,332.0
46,396.0,334.0
47,377.0,328.0
48,375.0,318.0
49,374.0,295.0
50,373.0,279.0
51,373.0,260.0
52,369.0,247.0
53,356.0,238.0
54,340.0,240.0
55,321.0,243.0
56,315.0,246.0
57,307.0,248.0
58,294.0,250.0
59,272.0,260.0
60,258.0,262.0
61,246.0,268.0
62,243.0,282.0
63,237.0,299.0
64,237.0,319.0
65,236.0,334.0
66,228.0,354.0
67,228.0,367.0
68,228.0,384.0
69,228.0,393.0
70,226.0,408.0
71,232.0,415.0
72,246.0,419.0
73,262.0,423.0
74,280.0,429.0
75,284.0,445.0
76,282.0,460.0
77,278.0,477.0
78,272.0,492.0
79,266.0,512.0
80,259.0,522.0
81,256.0,541.0
82,247.0,561.0
83,238.0,574.0
84,215.0,575.0
85,200.0,575.0
86,179.0,562.0
87,164.0,545.0
88,157.0,532.0
89,160.0,514.0
90,165.0,504.0
91,182.0,497.0
92,193.0,493.0
93,219.0,486.0
94,227.0,475.0
95,236.0,461.0
96,228.0,445.0
97,217.0,439.0
98,207.0,440.0
99,197.0,451.0
100,190.0,459.0
101,177.0,465.0
102,160.0,464.0
103,146.0,450.0
104,145.0,424.0
105,152.0,403.0
106,155.0,374.0
